Order,Color,Hex,RGB,Rest
1,Red,#e6194b,"(230, 25, 75)","(0, 100, 66, 0)"
3,Green,#3cb44b,"(60, 180, 75)","(75, 0, 100, 0)"
4,Yellow,#ffe119,"(255, 225, 25)","(0, 25, 95, 0)"
5,Blue,#0082c8,"(0, 130, 200)","(100, 35, 0, 0)"
6,Orange,#f58231,"(245, 130, 48)","(0, 60, 92, 0)"
7,Purple,#911eb4,"(145, 30, 180)","(35, 70, 0, 0)"
8,Cyan,#46f0f0,"(70, 240, 240)","(70, 0, 0, 0)"
9,Magenta,#f032e6,"(240, 50, 230)","(0, 100, 0, 0)"
10,Lime,#d2f53c,"(210, 245, 60)","(35, 0, 100, 0)"
11,Pink,#fabebe,"(250, 190, 190)","(0, 30, 15, 0)"
12,Teal,#008080,"(0, 128, 128)","(100, 0, 0, 50)"
13,Lavender,#e6beff,"(230, 190, 255)","(10, 25, 0, 0)"
14,Brown,#aa6e28,"(170, 110, 40)","(0, 35, 75, 33)"
15,Beige,#fffac8,"(255, 250, 200)","(5, 10, 30, 0)"
16,Maroon,#800000,"(128, 0, 0)","(0, 100, 100, 50)"
17,Mint,#aaffc3,"(170, 255, 195)","(33, 0, 23, 0)"
18,Olive,#808000,"(128, 128, 0)","(0, 0, 100, 50)"
19,Coral,#ffd8b1,"(255, 215, 180)","(0, 15, 30, 0)"
20,Navy,#000080,"(0, 0, 128)","(100, 100, 0, 50)"
21,Grey,#808080,"(128, 128, 128)","(0, 0, 0, 50)"
22,White,#FFFFFF,"(255, 255, 255)","(0, 0, 0, 0)"
23,Black,#000000,"(0, 0, 0)","(0, 0, 0, 100)"
