"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster"
"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GO:0071347","GO:0071347","cellular response to interleukin-1","12/90","80/15217",3.72792242290124e-14,1.147454521769e-10,6.62785365503178e-11,"CCL4/CCL3L3/CCL2/EGR1/EDN1/IRAK2/CXCL8/IL1RN/CCL8/IL1A/KLF2/CEBPB",12,"1"
"GO:0097530","GO:0097530","granulocyte migration","12/90","103/15217",8.48106194467803e-13,1.10005558445122e-09,6.35407093511885e-10,"CCL4/CCL3L3/CCL2/IL1B/EDN1/PTGER4/TNFSF18/CXCL8/CCL8/IL1A/C3AR1/C5AR1",12,"1"
"GO:0001819","GO:0001819","positive regulation of cytokine production","18/90","382/15217",7.65679535349904e-12,2.94595201225876e-09,1.70162202000788e-09,"CCL2/EGR1/IL1B/CD83/PTGS2/NR4A3/CLEC5A/PTGER4/TNF/IL1A/HLA-DPB1/DDX3X/SERPINE1/HLA-DPA1/CD14/C3AR1/CEBPB/C5AR1",18,"1"
"GO:0002687","GO:0002687","positive regulation of leukocyte migration","11/90","108/15217",3.57019341939757e-11,1.22100614943397e-08,7.05269787761696e-09,"CCL4/CCL2/EDN1/TNFSF18/TNF/CXCL8/CCL8/IL1A/SERPINE1/C3AR1/C5AR1",11,"1"
"GO:0022407","GO:0022407","regulation of cell-cell adhesion","17/90","390/15217",1.06248129716141e-10,2.72526452721902e-08,1.57414992184704e-08,"CCL2/IL1B/CD83/NR4A3/CITED2/BCL6/TNFSF18/TNF/NFKBID/IL1RN/HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DQB1/PDPN/HLA-DPA1/CEBPB",17,"1"
"GO:0071346","GO:0071346","cellular response to interferon-gamma","11/90","130/15217",2.70693943314164e-10,5.55463971680665e-08,3.20843558075525e-08,"CCL4/CCL3L3/CCL2/EDN1/CCL8/HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DQB1/HLA-DPA1/FCGR1B",11,"1"
"GO:0050865","GO:0050865","regulation of cell activation","17/90","480/15217",2.55423419350005e-09,3.93096642379658e-07,2.27057976464294e-07,"CCL2/IL1B/CD83/NR4A3/BCL6/CDKN1A/TNFSF18/NFKBID/HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DQB1/PDPN/HLA-DPA1/APOE/CEBPB/GPR183",17,"1"
"GO:0001660","GO:0001660","fever generation","5/90","11/15217",2.90573227456233e-09,4.06538360959221e-07,2.34822096255301e-07,"IL1B/PTGS2/TNF/IL1RN/IL1A",5,"1"
"GO:0032103","GO:0032103","positive regulation of response to external stimulus","13/90","256/15217",3.31623338264508e-09,4.4379853703398e-07,2.5634408161499e-07,"CCL4/CCL2/IL1B/PTGS2/EDN1/PTGER4/TNFSF18/TNF/CXCL8/OSM/SERPINE1/C3AR1/C5AR1",13,"1"
"GO:0042110","GO:0042110","T cell activation","16/90","429/15217",3.82724669072216e-09,4.75588419017477e-07,2.74706350576423e-07,"CCL2/EGR1/IL1B/CD83/BCL6/PTGER4/TNFSF18/NFKBID/HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DQB1/HLA-DPA1/CEBPB/MAFB/GPR183",16,"1"
"GO:0007159","GO:0007159","leukocyte cell-cell adhesion","14/90","340/15217",1.15508384117401e-08,1.31679557893837e-06,7.60599067346162e-07,"CCL2/IL1B/CD83/NR4A3/BCL6/TNFSF18/TNF/NFKBID/HLA-DRA/HLA-DRB1/HLA-DPB1/HLA-DQB1/HLA-DPA1/CEBPB",14,"1"
"GO:0050727","GO:0050727","regulation of inflammatory response","13/90","295/15217",1.81418209363262e-08,1.8114885086239e-06,1.04634044357777e-06,"IL1B/PTGS2/BCL6/PTGER4/TNFSF18/TNF/OSM/PER1/SERPINE1/GPX1/APOE/C3AR1/C5AR1",13,"1"
"GO:0040017","GO:0040017","positive regulation of locomotion","15/90","435/15217",3.52421909365532e-08,3.28713526371851e-06,1.8986941145722e-06,"CCL4/CCL2/IL1B/PTGS2/EDN1/TNFSF18/TNF/CXCL8/CCL8/IL1A/SPRY2/PDPN/SERPINE1/C3AR1/C5AR1",15,"1"
