"","ID","Cluster","V1","V2"
"Pat12_1_1_1","Pat12_1_1_1",1,31.1494228049683,-1.97629320247778
"Pat12_1_1_3","Pat12_1_1_3",2,-12.1444387686179,1.01396921738496
"Pat12_1_1_9","Pat12_1_1_9",3,-5.48120507482929,18.6056893992395
"Pat12_1_1_10","Pat12_1_1_10",1,31.5373366333933,-1.22801021503277
"Pat12_1_1_11","Pat12_1_1_11",2,-19.4744634276676,-8.17751119132464
"Pat12_1_1_18","Pat12_1_1_18",2,2.05002956712734,-2.31188898235662
"Pat12_1_1_20","Pat12_1_1_20",3,-17.1719218114861,8.50827787283195
"Pat12_1_1_21","Pat12_1_1_21",2,-17.3377705721211,0.850241339998763
"Pat12_1_1_22","Pat12_1_1_22",4,1.38685543129242,29.8411181728465
"Pat12_1_1_25","Pat12_1_1_25",5,12.7384097072537,5.80311177369683
"Pat12_1_1_26","Pat12_1_1_26",4,1.56368209818643,30.3972708067432
"Pat12_1_1_27","Pat12_1_1_27",2,-3.64352206917648,20.4796138514095
"Pat12_1_1_28","Pat12_1_1_28",1,32.5970689321,-0.882437665368406
"Pat12_1_1_33","Pat12_1_1_33",3,-12.6489035283472,10.1255489858682
"Pat12_1_1_34","Pat12_1_1_34",1,32.048880785634,-0.260821804032437
"Pat12_1_1_35","Pat12_1_1_35",3,4.21971563149304,3.11763118099089
"Pat12_1_1_36","Pat12_1_1_36",3,-4.13619914083214,-5.88810759421818
"Pat12_1_1_37","Pat12_1_1_37",5,20.0326622654623,2.07527343273857
"Pat12_1_1_39","Pat12_1_1_39",3,-21.1781217574062,3.25621823968575
"Pat12_1_1_40","Pat12_1_1_40",3,-20.1219708198483,10.8668547832799
"Pat12_1_1_41","Pat12_1_1_41",5,23.9774008036178,0.361454487801305
"Pat12_1_1_42","Pat12_1_1_42",2,-18.1264615933703,-9.43495958551968
"Pat12_1_1_43","Pat12_1_1_43",3,-16.6481704217773,19.0320393103025
"Pat12_1_1_44","Pat12_1_1_44",5,17.6063735269504,10.7560998833972
"Pat12_1_1_49","Pat12_1_1_49",4,-1.45653258525059,26.7206234304577
"Pat12_1_1_50","Pat12_1_1_50",3,-7.0927916218903,23.517705381003
