"","ID","Cluster","V1","V2"
"H4_GM_1_1_17","H4_GM_1_1_17",1,24.5395406579055,-10.4074541707423
"H4_GM_1_1_25","H4_GM_1_1_25",1,20.0688768260993,-3.63458050624545
"H4_GM_1_1_33","H4_GM_1_1_33",2,-0.0460755626160689,6.96166943106876
"H4_GM_1_1_34","H4_GM_1_1_34",1,20.9045604250054,-8.13774215717462
"H4_GM_1_1_35","H4_GM_1_1_35",1,20.54807327315,-10.4943819518217
"H4_GM_1_1_37","H4_GM_1_1_37",3,21.3180792355358,3.77191211131472
"H4_GM_1_1_57","H4_GM_1_1_57",3,18.0916000723439,1.18230779101629
"H4_GM_1_1_66","H4_GM_1_1_66",4,0.610435167877601,31.358010840458
"H4_GM_1_1_68","H4_GM_1_1_68",5,13.32681921249,9.48415419239122
"H4_GM_1_1_81","H4_GM_1_1_81",4,2.29112382038482,32.1749797506019
"H4_GM_1_1_82","H4_GM_1_1_82",3,12.5564933331451,2.51421527914746
"H4_GM_1_1_83","H4_GM_1_1_83",1,22.6614444371172,-10.2091963475471
"H4_GM_1_1_84","H4_GM_1_1_84",6,-2.05804038237575,16.2071624183974
"H4_GM_1_1_86","H4_GM_1_1_86",5,13.0923545530046,4.41079564879925
"H4_GM_1_1_89","H4_GM_1_1_89",3,6.72126774981895,-7.97365579070539
"H4_GM_1_1_97","H4_GM_1_1_97",1,19.7679094197959,-0.925396568627234
"H4_GM_1_1_98","H4_GM_1_1_98",3,9.06025666721834,2.20029757791545
"H4_GM_1_1_105","H4_GM_1_1_105",1,18.6072029123539,-9.76375686160935
"H4_GM_1_1_114","H4_GM_1_1_114",1,19.9718016958813,-9.01777909123523
"H4_GM_1_1_115","H4_GM_1_1_115",6,2.51454528233767,18.8802276772765
"H4_GM_1_1_123","H4_GM_1_1_123",1,22.9832187941414,-0.688567369996219
"H4_GM_1_1_129","H4_GM_1_1_129",3,6.4257594364155,-7.77541919123148
"H4_GM_1_1_131","H4_GM_1_1_131",2,-5.88410661655709,18.8816942807701
"H4_GM_1_1_132","H4_GM_1_1_132",5,5.01492736543368,-1.52621248716804
"H4_GM_1_1_137","H4_GM_1_1_137",3,10.6606432812573,-9.25962958108134
"H4_GM_1_1_146","H4_GM_1_1_146",1,23.8378795608921,-10.8457015685838
"H4_GM_1_1_147","H4_GM_1_1_147",6,15.811843743129,11.9975261669703
"H4_GM_1_1_148","H4_GM_1_1_148",6,0.816631930062113,17.438391220259
"H4_GM_1_1_162","H4_GM_1_1_162",3,13.111311640934,1.79517373398716
"H4_GM_1_1_164","H4_GM_1_1_164",6,-1.50259264261718,11.1691977093933
"H4_GM_1_1_169","H4_GM_1_1_169",5,11.7335022968072,12.8758916427205
"H4_GM_1_1_171","H4_GM_1_1_171",1,20.1278665588326,-12.2151806849364
"H4_GM_1_1_177","H4_GM_1_1_177",5,12.4259316793613,10.2791273282087
"H4_GM_1_1_178","H4_GM_1_1_178",5,17.8647979432605,-3.14227510175726
"H4_GM_1_1_179","H4_GM_1_1_179",1,23.2865794819632,-11.8401472348543
"H4_GM_1_1_180","H4_GM_1_1_180",6,1.18649996251096,17.4374125882817
"H4_GM_1_1_186","H4_GM_1_1_186",6,5.60297158606825,16.45609272196
"H4_GM_2_2_1","H4_GM_2_2_1",3,13.1324084479032,1.34100440906151
"H4_GM_2_2_6","H4_GM_2_2_6",1,23.8437458801074,-11.5655909300524
"H4_GM_2_2_10","H4_GM_2_2_10",1,23.7895014875047,-5.64927618511507
"H4_GM_2_2_12","H4_GM_2_2_12",5,4.82571563603931,-9.15826445597543
"H4_GM_2_2_17","H4_GM_2_2_17",1,19.9098798550827,-9.15662060034182
"H4_GM_2_2_18","H4_GM_2_2_18",1,21.0816938562966,-12.0304950385965
"H4_GM_2_2_20","H4_GM_2_2_20",1,18.2129569510608,-8.63927299800764
"H4_GM_2_2_22","H4_GM_2_2_22",6,1.6036042457464,12.5410776818936
"H4_GM_2_2_37","H4_GM_2_2_37",3,12.4618181122375,-4.57344079797083
"H4_GM_2_2_44","H4_GM_2_2_44",3,17.6566708482195,2.134584181104
"H4_GM_2_2_49","H4_GM_2_2_49",3,14.3047496605931,-5.43929030130555
"H4_GM_2_2_50","H4_GM_2_2_50",6,13.0266372821798,12.1202297616172
"H4_GM_2_2_53","H4_GM_2_2_53",1,24.0577935422375,-9.89469955262805
"H4_GM_2_2_55","H4_GM_2_2_55",1,22.599926337456,1.65977140485404
"H4_GM_2_2_57","H4_GM_2_2_57",3,13.8461532294238,4.01659886558014
"H4_GM_2_2_60","H4_GM_2_2_60",1,24.4420954284394,-10.0646194927032
"H4_GM_2_2_61","H4_GM_2_2_61",1,19.6409508386037,0.377925334989607
"H4_GM_2_2_65","H4_GM_2_2_65",1,24.5447994467774,-9.78637279090887
"H4_GM_2_2_66","H4_GM_2_2_66",3,13.2009125604735,-4.75195444226021
"H4_GM_2_2_68","H4_GM_2_2_68",2,1.3964260357597,-14.3722659077251
"H4_GM_2_2_69","H4_GM_2_2_69",1,20.3943044389928,0.749789793054784
"H4_GM_2_2_78","H4_GM_2_2_78",5,14.2658479937742,9.8851553296251
"H4_GM_2_2_79","H4_GM_2_2_79",3,13.7757868077363,3.47818915471148
"H4_GM_2_2_81","H4_GM_2_2_81",6,2.42147344057643,17.2967793852961
"H4_GM_2_2_82","H4_GM_2_2_82",1,21.7236100287933,-11.9416615714504
"H4_GM_2_2_83","H4_GM_2_2_83",1,21.756410618713,3.46332407250204
"H4_GM_2_2_85","H4_GM_2_2_85",5,4.74324393409722,-1.32091164107636
"H4_GM_2_2_87","H4_GM_2_2_87",3,15.2616310486009,8.3619318357224
"H4_GM_2_2_90","H4_GM_2_2_90",5,10.3118634321656,11.2930091893499
"H4_GM_2_2_91","H4_GM_2_2_91",1,15.908923302161,-12.5666309090656
"H4_GM_2_2_93","H4_GM_2_2_93",6,15.6482360455992,11.5842302942349
"H4_GM_2_2_94","H4_GM_2_2_94",3,14.1046463973607,-4.57476349572715
"H4_GM_2_2_97","H4_GM_2_2_97",1,19.8562192368282,-8.85749174474122
"H4_GM_2_2_100","H4_GM_2_2_100",1,22.9393250524792,-9.68749560642961
"H4_GM_2_2_101","H4_GM_2_2_101",1,22.8320291405354,1.82919034143078
"H4_GM_2_2_103","H4_GM_2_2_103",3,17.4915972325006,1.6231608516884
"H4_GM_2_2_105","H4_GM_2_2_105",13,0.306152182237517,-20.7429334958507
