"","ID","Cluster","V1","V2"
"H4_GM_1_1_17","H4_GM_1_1_17",1,-3.56744993324328,-23.8212035983998
"H4_GM_1_1_25","H4_GM_1_1_25",2,3.37835767519031,-20.3484896347526
"H4_GM_1_1_33","H4_GM_1_1_33",3,0.615232096476307,1.31789702374836
"H4_GM_1_1_34","H4_GM_1_1_34",1,-0.905386143651183,-20.9356519327805
"H4_GM_1_1_35","H4_GM_1_1_35",1,-5.28418642803472,-18.7445007662643
"H4_GM_1_1_37","H4_GM_1_1_37",4,1.23567362052637,-13.1467693200575
"H4_GM_1_1_57","H4_GM_1_1_57",2,-0.623552583890554,-19.7850687964411
"H4_GM_1_1_68","H4_GM_1_1_68",4,1.71331784364208,-12.8613197661672
"H4_GM_1_1_82","H4_GM_1_1_82",4,0.904443580325393,-10.9920128522079
"H4_GM_1_1_83","H4_GM_1_1_83",1,-3.58338306613222,-23.0594813453027
"H4_GM_1_1_84","H4_GM_1_1_84",6,11.9012619953181,-0.565656257957955
"H4_GM_1_1_86","H4_GM_1_1_86",2,0.983704029801399,-12.0853604061374
"H4_GM_1_1_89","H4_GM_1_1_89",7,-2.43918353988785,-1.80678504002009
"H4_GM_1_1_97","H4_GM_1_1_97",1,-2.22715247761109,-20.830077112901
"H4_GM_1_1_98","H4_GM_1_1_98",4,0.480253355195309,-6.90933978339638
"H4_GM_1_1_105","H4_GM_1_1_105",1,-5.52697550277276,-18.8806230883239
"H4_GM_1_1_114","H4_GM_1_1_114",1,-1.12789549351485,-21.768817816212
"H4_GM_1_1_115","H4_GM_1_1_115",5,16.4846686534028,-9.79057317914442
"H4_GM_1_1_123","H4_GM_1_1_123",2,1.28393181145193,-22.4686243659365
"H4_GM_1_1_129","H4_GM_1_1_129",4,-7.05572958107816,-3.9447229844918
"H4_GM_1_1_131","H4_GM_1_1_131",3,10.1652069533395,-2.81172930267927
"H4_GM_1_1_132","H4_GM_1_1_132",7,-2.75525355579321,-3.65321796407013
"H4_GM_1_1_137","H4_GM_1_1_137",4,-3.62033164607525,-15.7405772295417
"H4_GM_1_1_146","H4_GM_1_1_146",1,-4.76869608884396,-23.9830278289923
"H4_GM_1_1_147","H4_GM_1_1_147",5,11.8030975264099,-5.07983650566861
"H4_GM_1_1_148","H4_GM_1_1_148",5,15.7320845379836,-7.44294688242437
"H4_GM_1_1_162","H4_GM_1_1_162",4,1.05550785147931,-11.3010984362878
