X,ID
1,Pat12_1_1_1
2,Pat12_1_1_3
3,Pat12_1_1_9
4,Pat12_1_1_10
5,Pat12_1_1_11
6,Pat12_1_1_18
7,Pat12_1_1_20
8,Pat12_1_1_21
9,Pat12_1_1_22
10,Pat12_1_1_25
11,Pat12_1_1_26
12,Pat12_1_1_27
13,Pat12_1_1_28
14,Pat12_1_1_33
15,Pat12_1_1_34
16,Pat12_1_1_35
17,Pat12_1_1_36
18,Pat12_1_1_37
19,Pat12_1_1_39
20,Pat12_1_1_40
21,Pat12_1_1_41
22,Pat12_1_1_42
23,Pat12_1_1_43
24,Pat12_1_1_44
25,Pat12_1_1_49
26,Pat12_1_1_50
27,Pat12_1_1_51
28,Pat12_1_1_52
29,Pat12_1_1_53
30,Pat12_1_1_55
31,Pat12_1_1_57
32,Pat12_1_1_58
33,Pat12_1_1_59
34,Pat12_1_1_60
35,Pat12_1_1_61
36,Pat12_1_1_65
37,Pat12_1_1_66
38,Pat12_1_1_67
39,Pat12_1_1_68
40,Pat12_1_1_69
41,Pat12_1_1_71
42,Pat12_1_1_73
43,Pat12_1_1_74
44,Pat12_1_1_75
45,Pat12_1_1_76
46,Pat12_1_1_77
47,Pat12_1_1_78
48,Pat12_1_1_81
49,Pat12_1_1_82
50,Pat12_1_1_83
51,Pat12_1_1_84
52,Pat12_1_1_85
53,Pat12_1_1_86
54,Pat12_1_1_87
55,Pat12_1_1_88
56,Pat12_1_1_89
57,Pat12_1_1_91
58,Pat12_1_1_92
59,Pat12_1_1_93
60,Pat12_1_1_94
61,Pat12_1_1_95
62,Pat12_1_1_97
63,Pat12_1_1_98
64,Pat12_1_1_99
65,Pat12_1_1_100
66,Pat12_1_1_101
67,Pat12_1_1_102
68,Pat12_1_1_103
69,Pat12_1_1_105
70,Pat12_1_1_106
71,Pat12_1_1_107
72,Pat12_1_1_108
73,Pat12_1_1_109
74,Pat12_1_1_110
75,Pat12_1_1_111
76,Pat12_1_1_113
77,Pat12_1_1_114
78,Pat12_1_1_115
79,Pat12_1_1_116
80,Pat12_1_1_118
81,Pat12_1_1_119
82,Pat12_1_1_121
83,Pat12_1_1_122
84,Pat12_1_1_123
85,Pat12_1_1_124
86,Pat12_1_1_125
87,Pat12_1_1_127
88,Pat12_1_1_128
89,Pat12_1_1_130
90,Pat12_1_1_131
91,Pat12_1_1_132
92,Pat12_1_1_133
93,Pat12_1_1_134
94,Pat12_1_1_135
95,Pat12_1_1_136
96,Pat12_1_1_137
97,Pat12_1_1_138
98,Pat12_1_1_139
99,Pat12_1_1_140
100,Pat12_1_1_141
101,Pat12_1_1_142
102,Pat12_1_1_143
103,Pat12_1_1_144
104,Pat12_1_1_145
105,Pat12_1_1_148
106,Pat12_1_1_149
107,Pat12_1_1_150
108,Pat12_1_1_152
109,Pat12_1_1_153
110,Pat12_1_1_156
111,Pat12_1_1_157
112,Pat12_1_1_158
113,Pat12_1_1_160
114,Pat12_1_1_163
115,Pat12_1_1_164
116,Pat12_1_1_165
117,Pat12_1_1_166
118,Pat12_1_1_170
119,Pat12_1_1_171
120,Pat12_1_1_172
121,Pat12_1_1_173
122,Pat12_1_1_174
123,Pat12_1_1_176
124,Pat12_1_1_177
125,Pat12_1_1_179
126,Pat12_1_1_180
127,Pat12_1_1_181
128,Pat12_1_1_182
129,Pat12_1_1_183
130,Pat12_1_1_184
131,Pat12_1_1_185
132,Pat12_1_1_186
133,Pat12_1_1_187
134,Pat12_1_1_188
135,Pat12_1_1_189
136,Pat12_1_1_191
137,Pat12_1_1_192
138,Pat12_2_2_2
139,Pat12_2_2_3
140,Pat12_2_2_4
141,Pat12_2_2_5
142,Pat12_2_2_6
143,Pat12_2_2_8
144,Pat12_2_2_9
145,Pat12_2_2_11
146,Pat12_2_2_12
147,Pat12_2_2_13
148,Pat12_2_2_14
149,Pat12_2_2_15
150,Pat12_2_2_16
151,Pat12_2_2_17
152,Pat12_2_2_18
153,Pat12_2_2_19
154,Pat12_2_2_20
155,Pat12_2_2_21
156,Pat12_2_2_22
157,Pat12_2_2_23
158,Pat12_2_2_24
159,Pat12_2_2_25
160,Pat12_2_2_26
161,Pat12_2_2_28
162,Pat12_2_2_29
163,Pat12_2_2_31
164,Pat12_2_2_32
165,Pat12_2_2_34
166,Pat12_2_2_35
167,Pat12_2_2_36
168,Pat12_2_2_37
169,Pat12_2_2_38
170,Pat12_2_2_39
171,Pat12_2_2_40
172,Pat12_2_2_42
173,Pat12_2_2_43
174,Pat12_2_2_44
175,Pat12_2_2_45
176,Pat12_2_2_46
177,Pat12_2_2_48
178,Pat12_2_2_50
179,Pat12_2_2_51
180,Pat12_2_2_53
181,Pat12_2_2_54
182,Pat12_2_2_55
183,Pat12_2_2_56
184,Pat12_2_2_57
185,Pat12_2_2_59
186,Pat12_2_2_61
187,Pat12_2_2_62
188,Pat12_2_2_65
189,Pat12_2_2_66
190,Pat12_2_2_67
191,Pat12_2_2_68
192,Pat12_2_2_69
193,Pat12_2_2_70
194,Pat12_2_2_71
195,Pat12_2_2_72
196,Pat12_2_2_74
197,Pat12_2_2_75
198,Pat12_2_2_76
199,Pat12_2_2_77
200,Pat12_2_2_78
201,Pat12_2_2_79
202,Pat12_2_2_80
203,Pat12_2_2_82
204,Pat12_2_2_83
205,Pat12_2_2_84
206,Pat12_2_2_85
207,Pat12_2_2_86
208,Pat12_2_2_87
209,Pat12_2_2_88
210,Pat12_2_2_89
211,Pat12_2_2_91
212,Pat12_2_2_92
213,Pat12_2_2_93
214,Pat12_2_2_96
215,Pat12_2_2_98
216,Pat12_2_2_99
217,Pat12_2_2_101
218,Pat12_2_2_102
219,Pat12_2_2_104
220,Pat12_2_2_106
221,Pat12_2_2_107
222,Pat12_2_2_108
223,Pat12_2_2_110
224,Pat12_2_2_111
225,Pat12_2_2_112
226,Pat12_2_2_113
227,Pat12_2_2_114
228,Pat12_2_2_115
229,Pat12_2_2_116
230,Pat12_2_2_117
231,Pat12_2_2_119
232,Pat12_2_2_120
233,Pat12_2_2_121
234,Pat12_2_2_122
235,Pat12_2_2_123
236,Pat12_2_2_124
237,Pat12_2_2_125
238,Pat12_2_2_126
239,Pat12_2_2_127
240,Pat12_2_2_128
241,Pat12_2_2_130
242,Pat12_2_2_132
243,Pat12_2_2_133
244,Pat12_2_2_134
245,Pat12_2_2_135
246,Pat12_2_2_136
247,Pat12_2_2_137
248,Pat12_2_2_138
249,Pat12_2_2_139
250,Pat12_2_2_140
251,Pat12_2_2_144
252,Pat12_2_2_146
253,Pat12_2_2_148
254,Pat12_2_2_149
255,Pat12_2_2_150
256,Pat12_2_2_151
257,Pat12_2_2_154
258,Pat12_2_2_155
259,Pat12_2_2_156
260,Pat12_2_2_157
261,Pat12_2_2_158
262,Pat12_2_2_159
263,Pat12_2_2_160
264,Pat12_2_2_164
265,Pat12_2_2_166
266,Pat12_2_2_168
267,Pat12_2_2_171
268,Pat12_2_2_172
269,Pat12_2_2_173
270,Pat12_2_2_175
271,Pat12_2_2_176
272,Pat12_2_2_179
273,Pat12_2_2_180
274,Pat12_2_2_181
275,Pat12_2_2_184
276,Pat12_2_2_186
277,Pat12_2_2_188
278,Pat12_2_2_189
279,Pat12_2_2_190
280,Pat12_1_5_26
281,Pat12_1_5_47
282,Pat12_1_5_65
283,Pat12_1_5_77
284,Pat12_1_5_108
285,Pat12_1_5_111
286,Pat12_1_5_168
287,Pat12_1_5_171
288,Pat12_1_5_186
289,Pat12_2_6_12
290,Pat12_2_6_31
291,Pat12_2_6_55
292,Pat12_2_6_67
293,Pat12_2_6_84
294,Pat12_2_6_91
295,Pat12_2_6_95
296,Pat12_2_6_98
297,Pat12_2_6_105
298,Pat12_2_6_130
299,Pat12_2_6_138
300,Pat12_2_6_140
301,Pat12_2_6_156
302,Pat12_2_6_181
303,Pat12_2_6_191
304,Pat15_GM_1_1_17
305,Pat15_GM_1_1_25
306,Pat15_GM_1_1_33
307,Pat15_GM_1_1_34
308,Pat15_GM_1_1_35
309,Pat15_GM_1_1_37
310,Pat15_GM_1_1_57
311,Pat15_GM_1_1_68
312,Pat15_GM_1_1_82
313,Pat15_GM_1_1_83
314,Pat15_GM_1_1_84
315,Pat15_GM_1_1_86
316,Pat15_GM_1_1_89
317,Pat15_GM_1_1_97
318,Pat15_GM_1_1_98
319,Pat15_GM_1_1_105
320,Pat15_GM_1_1_114
321,Pat15_GM_1_1_115
322,Pat15_GM_1_1_123
323,Pat15_GM_1_1_129
324,Pat15_GM_1_1_131
325,Pat15_GM_1_1_132
326,Pat15_GM_1_1_137
327,Pat15_GM_1_1_146
328,Pat15_GM_1_1_147
329,Pat15_GM_1_1_148
330,Pat15_GM_1_1_162
331,Pat15_GM_1_1_164
332,Pat15_GM_1_1_169
333,Pat15_GM_1_1_171
334,Pat15_GM_1_1_177
335,Pat15_GM_1_1_178
336,Pat15_GM_1_1_179
337,Pat15_GM_1_1_180
338,Pat15_GM_1_1_186
339,Pat15_GM_2_2_1
340,Pat15_GM_2_2_6
341,Pat15_GM_2_2_10
342,Pat15_GM_2_2_12
343,Pat15_GM_2_2_17
344,Pat15_GM_2_2_18
345,Pat15_GM_2_2_20
346,Pat15_GM_2_2_22
347,Pat15_GM_2_2_37
348,Pat15_GM_2_2_44
349,Pat15_GM_2_2_49
350,Pat15_GM_2_2_50
351,Pat15_GM_2_2_53
352,Pat15_GM_2_2_55
353,Pat15_GM_2_2_57
354,Pat15_GM_2_2_60
355,Pat15_GM_2_2_61
356,Pat15_GM_2_2_65
357,Pat15_GM_2_2_66
358,Pat15_GM_2_2_68
359,Pat15_GM_2_2_69
360,Pat15_GM_2_2_78
361,Pat15_GM_2_2_79
362,Pat15_GM_2_2_81
363,Pat15_GM_2_2_82
364,Pat15_GM_2_2_83
365,Pat15_GM_2_2_85
366,Pat15_GM_2_2_87
367,Pat15_GM_2_2_90
368,Pat15_GM_2_2_91
369,Pat15_GM_2_2_93
370,Pat15_GM_2_2_94
371,Pat15_GM_2_2_97
372,Pat15_GM_2_2_100
373,Pat15_GM_2_2_101
374,Pat15_GM_2_2_103
375,Pat15_GM_2_2_105
376,Pat15_GM_2_2_108
377,Pat15_GM_2_2_113
378,Pat15_GM_2_2_114
379,Pat15_GM_2_2_115
380,Pat15_GM_2_2_116
381,Pat15_GM_2_2_117
382,Pat15_GM_2_2_120
383,Pat15_GM_2_2_121
384,Pat15_GM_2_2_123
385,Pat15_GM_2_2_124
386,Pat15_GM_2_2_127
387,Pat15_GM_2_2_128
388,Pat15_GM_2_2_129
389,Pat15_GM_2_2_130
390,Pat15_GM_2_2_132
391,Pat15_GM_2_2_134
392,Pat15_GM_2_2_135
393,Pat15_GM_2_2_136
394,Pat15_GM_2_2_137
395,Pat15_GM_2_2_138
396,Pat15_GM_2_2_139
397,Pat15_GM_2_2_143
398,Pat15_GM_2_2_145
399,Pat15_GM_2_2_146
400,Pat15_GM_2_2_147
401,Pat15_GM_2_2_148
402,Pat15_GM_2_2_151
403,Pat15_GM_2_2_155
404,Pat15_GM_2_2_157
405,Pat15_GM_2_2_159
406,Pat15_GM_2_2_160
407,Pat15_GM_2_2_161
408,Pat15_GM_2_2_162
409,Pat15_GM_2_2_163
410,Pat15_GM_2_2_165
411,Pat15_GM_2_2_166
412,Pat15_GM_2_2_167
413,Pat15_GM_2_2_168
414,Pat15_GM_2_2_169
415,Pat15_GM_2_2_170
416,Pat15_GM_2_2_171
417,Pat15_GM_2_2_173
418,Pat15_GM_2_2_175
419,Pat15_GM_2_2_178
420,Pat15_GM_2_2_180
421,Pat15_GM_2_2_181
422,Pat15_GM_2_2_182
423,Pat15_GM_2_2_183
424,Pat15_GM_2_2_184
425,Pat15_GM_2_2_185
426,Pat15_GM_2_2_190
