5S_rRNA__chr2	5S_rRNA__chr2|RNA5SP100__chr2
AC004070.1__chrX	AC004070.1__chrX|RP11-364B14.1__chrX
AC024937.1__chr3	AC024937.1__chr3|AC233280.3__chr3
AC025280.1__chr16	AC025280.1__chr16|AC134300.1__chr16
AC025627.1__chr17	AC025627.1__chr17|AC132825.1__chr17
AC026166.1__chr3	AC026166.1__chr3|AC097103.1__chr3
AC026248.1__chr8	AC026248.1__chr8|AC108925.1__chr8
AC026254.1__chr17	AC026254.1__chr17|AC073508.1__chr17|AC091178.2__chr17|MIR1273E__chr17
AC026318.1__chr3	AC026318.1__chr3|AC098477.1__chr3|AC106827.1__chr3
AC026951.1__chr15	AC026951.1__chr15|AC091057.1__chr15
AC027806.1__chr11	AC027806.1__chr11|AP002884.1__chr11
AC034187.1__chr3	AC034187.1__chr3|AC137674.1__chr3
AC004158.1__chr16	AC004158.1__chr16|AC009022.1__chr16|AC009060.2__chr16|AC009060.3__chr16
AC034187.3__chr3	AC034187.3__chr3|AC083906.1__chr3|AC139453.1__chr3|AF186996.1__chr3|AF186996.2__chr3
AC034187.4__chr3	AC034187.4__chr3|AC117481.1__chr3|AC137674.2__chr3
AC034198.1__chr3	AC034198.1__chr3|AL449212.1__chr3
AC041039.1__chr8	AC041039.1__chr8|AC100800.2__chr8|AC100821.1__chr8|AC103724.1__chr8|AP002852.1__chr8|MIR1273A__chr8
AC044860.1__chr15	AC044860.1__chr15|AC136698.1__chr15|AC243562.1__chr15|AC243562.2__chr15|AC245033.1__chr15
AC046130.1__chr12	AC046130.1__chr12|AC117372.1__chr12
AC055736.2__chr12	AC055736.2__chr12|AC055736.3__chr12|AC055736.4__chr12|AC107016.2__chr12
AC055811.1__chr17	AC055811.1__chr17|AC139149.1__chr17
AC066612.1__chr15	AC066612.1__chr15|AC103740.1__chr15
AC011313.1__chr12	AC011313.1__chr12|AC067735.1__chr12|AC090051.1__chr12
AC004460.1__chr15	AC004460.1__chr15|AC019322.1__chr15|AC023310.1__chr15|AC026150.1__chr15|AC026150.2__chr15|AC055876.2__chr15|AC090825.1__chr15|AC091167.1__chr15|AC091304.1__chr15|AC091565.1__chr15|AC100756.1__chr15|AC100757.1__chr15|AC107977.2__chr15|AC116165.1__chr15|AC120045.1__chr15|AC120045.2__chr15|AC123768.1__chr15|AC135983.1__chr15|AC138749.1__chr15|AC139426.1__chr15|MIR1233-1__chr15|MIR1233-2__chr15
AC067742.1__chr10	AC067742.1__chr10|AL096864.1__chr10|AL360176.1__chr10|AL592466.1__chr10
AC067805.1__chr15	AC067805.1__chr15|MIR1268A__chr15
AC013701.1__chr8	AC013701.1__chr8|AC067903.1__chr8|AC091114.1__chr8|AC104012.1__chr8|AP003356.1__chr8|AP003471.2__chr8
AC068152.1__chr17	AC068152.1__chr17|AC138645.1__chr17
AC068506.1__chr18	AC068506.1__chr18|AC105245.1__chr18
AC068587.1__chr8	AC068587.1__chr8|AC068587.2__chr8|AF228730.1__chr8|AF228730.2__chr8|MIR548I3__chr8
AC069276.1__chr3	AC069276.1__chr3|AC104331.1__chr3
AC069285.1__chr7	AC069285.1__chr7|AC092634.1__chr7|MIR3147__chr7
AC073089.1__chr7	AC073089.1__chr7|AC211469.1__chr7
AC073370.1__chr10	AC073370.1__chr10|AL158040.1__chr10|AL392111.1__chr10
AC004520.1__chr7	AC004520.1__chr7|AC005159.1__chr7
AC073427.1__chr4	AC073427.1__chr4|AC097466.1__chr4
AC073648.1__chr4	AC073648.1__chr4|AC116562.1__chr4|MIR548I2__chr4
AC074183.3__chr7	AC074183.3__chr7|AC074183.4__chr7
AC076972.1__chr12	AC076972.1__chr12|AC138123.1__chr12
AC078864.2__chr12	AC078864.2__chr12|AC092865.2__chr12
AC068799.1__chr12	AC068799.1__chr12|AC078927.1__chr12|AC107018.1__chr12|AC135584.1__chr12
AC061975.1__chr17	AC061975.1__chr17|AC079005.1__chr17
AC079140.1__chr4	AC079140.1__chr4|AC092574.1__chr4|AC253576.1__chr4
AC079355.1__chr7	AC079355.1__chr7|AC118758.1__chr7
AC079917.1__chr11	AC079917.1__chr11|AC090707.1__chr11|AP002802.1__chr11|AP003464.1__chr11|AP004371.1__chr11
AC004552.1__chrX	AC004552.1__chrX|AC107613.1__chrX
AC079945.1__chr3	AC079945.1__chr3|AC139451.2__chr3
AC055873.1__chr15	AC055873.1__chr15|AC080032.1__chr15|AC087433.1__chr15|AC112693.1__chr15
AC083826.1__chr4	AC083826.1__chr4|AC098591.1__chr4
AC084125.1__chr8	AC084125.1__chr8|AC087793.1__chr8|AC234917.1__chr8|AP001205.1__chr8
AC090950.1__chr3	AC090950.1__chr3|AC124916.2__chr3
AC090954.1__chr3	AC090954.1__chr3|AC133041.1__chr3|MIR548I1__chr3
AC091038.1__chr18	AC091038.1__chr18|AC091042.1__chr18
AC092017.1__chr1	AC092017.1__chr1|AC092812.1__chr1|AC093419.1__chr1|AC241377.1__chr1|AL049798.1__chr1|AL138837.1__chr1|AL359983.1__chr1
AC092057.1__chr3	AC092057.1__chr3|AC104183.2__chr3|AC105265.1__chr3|AC128686.1__chr3|AC141002.1__chr3
AC092104.2__chr7	AC092104.2__chr7|AC092104.3__chr7|AC092104.5__chr7
AC004595.1__chr7	AC004595.1__chr7|AC004932.1__chr7|AC006480.1__chr7|AC073127.1__chr7
AC092287.1__chr16	AC092287.1__chr16|MIR3680-1__chr16|MIR3680-2__chr16
AC092326.1__chr16	AC092326.1__chr16|AC138811.1__chr16
AC092574.2__chr4	AC092574.2__chr4|AC253576.2__chr4|MIR571__chr4
AC092765.1__chr1	AC092765.1__chr1|AC115286.1__chr1|AC119674.1__chr1|AL021398.1__chr1|AL022400.1__chr1|AL122019.1__chr1|AL161740.1__chr1|AL356693.1__chr1|AL450244.1__chr1|AL451006.1__chr1|AL592294.1__chr1|AL611946.1__chr1|AL645944.1__chr1
AC092905.1__chr3	AC092905.1__chr3|AC104183.1__chr3
AC093151.2__chr1	AC093151.2__chr1|BX571818.1__chr1
AC093376.1__chr7	AC093376.1__chr7|MIR4283-1__chr7|MIR4283-2__chr7
AC055758.1__chr3	AC055758.1__chr3|AC093611.2__chr3|AC107025.1__chr3|AC117422.1__chr3
AC093668.1__chr7	AC093668.1__chr7|AC105052.1__chr7
AC093680.1__chr4	AC093680.1__chr4|AC093763.1__chr4|AC097455.1__chr4
AC004656.1__chrX	AC004656.1__chrX|AL035422.1__chrX|Z97632.1__chrX
AC093766.1__chr4	AC093766.1__chr4|AC095061.1__chr4|AC096763.1__chr4|AC097372.1__chr4|AC098680.1__chr4|AC110794.1__chr4
AC093807.1__chr4	AC093807.1__chr4|AC093824.1__chr4|AC097382.1__chr4|AC112719.1__chr4
AC096922.2__chr3	AC096922.2__chr3|AC144634.1__chr3
AC099326.1__chr3	AC099326.1__chr3|AC099332.1__chr3|MIR4448__chr3
AC016597.1__chr16	AC016597.1__chr16|AC099506.1__chr16
AC099796.1__chr1	AC099796.1__chr1|AC117945.1__chr1|AL359771.1__chr1|AL390718.1__chr1
AC100756.2__chr15	AC100756.2__chr15|AC107977.1__chr15
AC100767.1__chr11	AC100767.1__chr11|AP006477.1__chr11
AC104057.1__chr7	AC104057.1__chr7|AC104073.2__chr7
AC104301.1__chr20	AC104301.1__chr20|AL121756.1__chr20
AC004837.1__chr7	AC004837.1__chr7|AC006926.1__chr7|AC091320.1__chr7|AC092022.1__chr7|AC096752.1__chr7|KF511026.1__chr7
AC104383.1__chr11	AC104383.1__chr11|MIR8070__chr11
AC104387.1__chr11	AC104387.1__chr11|AP002498.1__chr11|AP004242.1__chr11
AC104389.1__chr11	AC104389.1__chr11|AC104389.2__chr11
AC104837.1__chr1	AC104837.1__chr1|AC239798.1__chr1|AC241585.1__chr1|AC243772.1__chr1|AL121988.1__chr1|AL136234.1__chr1|AL356270.1__chr1|AL356479.1__chr1|AL359853.1__chr1|AL390119.1__chr1|AL590683.2__chr1
AC106037.1__chr18	AC106037.1__chr18|SNORA81__chr18
AC106795.1__chr5	AC106795.1__chr5|AC138965.1__chr5
AC093611.1__chr3	AC093611.1__chr3|AC108667.1__chr3
AC107068.1__chr4	AC107068.1__chr4|AC110813.1__chr4
AC113192.1__chr11	AC113192.1__chr11|AP001992.1__chr11
AC113208.1__chr15	AC113208.1__chr15|MIR4313__chr15
AC004853.1__chr7	AC004853.1__chr7|OR2F1__chr7|OR2F2__chr7
AC118282.1__chr4	AC118282.1__chr4|AC118282.2__chr4|AC119751.1__chr4|AC119751.2__chr4|AC119751.3__chr4
AC118282.3__chr4	AC118282.3__chr4|AC119751.4__chr4
AC118282.4__chr4	AC118282.4__chr4|AC119751.5__chr4
AC122714.1__chr5	AC122714.1__chr5|AC145141.2__chr5
AC123512.1__chr12	AC123512.1__chr12|AC123512.2__chr12
AC124276.1__chr11	AC124276.1__chr11|AC127030.1__chr11|AP000889.3__chr11|AP000936.2__chr11|AP003307.1__chr11
AC126281.1__chr4	AC126281.1__chr4|AC126281.2__chr4|AC126281.3__chr4|AC126281.4__chr4|AC126281.5__chr4|AC126281.6__chr4|AC126281.7__chr4|AC126281.8__chr4|AC215524.1__chr4
AC126755.2__chr16	AC126755.2__chr16|MIR6511A1__chr16|MIR6511A2__chr16|MIR6511A3__chr16|MIR6511A4__chr16|MIR6511B1__chr16|MIR6511B2__chr16
AC126763.1__chr16	AC126763.1__chr16|MIR3670-1__chr16|MIR3670-2__chr16|MIR3670-3__chr16|MIR3670-4__chr16
AC129778.2__chr9	AC129778.2__chr9|RP11-381O7.3__chr9
AC004924.1__chr11	AC004924.1__chr11|AC127526.1__chr11|AP003498.1__chr11
AC134878.1__chrY	AC134878.1__chrY|AC134878.2__chrY
AC134882.1__chrY	AC134882.1__chrY|AC134882.2__chrY|AC134882.3__chrY
AC137488.1__chr22	AC137488.1__chr22|CT978678.1__chr22
AC138430.4__chr19	AC138430.4__chr19|HAPLN4__chr19
AC138761.1__chr17	AC138761.1__chr17|AC233702.1__chr17
AC138969.4__chr16	AC138969.4__chr16|NPIPA1__chr16|NPIPA7__chr16|NPIPA8__chr16|RP11-1212A22.4__chr16
AC140479.1__chr2	AC140479.1__chr2|MIR4267__chr2
AC140677.1__chr5	AC140677.1__chr5|RNA5SP199__chr5
AC159540.1__chr2	AC159540.1__chr2|LINC00342__chr2|RP11-734K23.9__chr2
AC234582.1__chr1	AC234582.1__chr1|AC234582.2__chr1
5S_rRNA__chr9	5S_rRNA__chr9|RNA5SP283__chr9|RNA5SP284__chr9
AC005071.2__chr7	AC005071.2__chr7|MIR6840__chr7
AC234771.1__chrX	AC234771.1__chrX|AL080272.1__chrX
AC239800.1__chr1	AC239800.1__chr1|AC245407.1__chr1|AC253578.1__chr1
AC239802.1__chr1	AC239802.1__chr1|AC239859.1__chr1|AC241952.1__chr1|AL021920.1__chr1|AL355149.1__chr1|MIR3675__chr1
AC239868.1__chr1	AC239868.1__chr1|AC239868.2__chr1|AC239868.3__chr1
AC241377.2__chr1	AC241377.2__chr1|AC241585.2__chr1|AC245100.1__chr1
AC243756.1__chr1	AC243756.1__chr1|PPIAL4A__chr1|PPIAL4C__chr1|PPIAL4D__chr1|PPIAL4E__chr1|PPIAL4F__chr1
AC243945.1__chr14	AC243945.1__chr14|AF111168.2__chr14|AL135745.1__chr14
AC244157.1__chr22	AC244157.1__chr22|AC244250.1__chr22|AC244250.2__chr22|AC244250.3__chr22|AC244250.4__chr22|AC245028.1__chr22|MIR650__chr22
AC244258.1__chr6	AC244258.1__chr6|MIR548U__chr6
AC245036.1__chr19	AC245036.1__chr19|MIR4752__chr19
AC005071.3__chr7	AC005071.3__chr7|AC005071.4__chr7
AC245036.2__chr19	AC245036.2__chr19|AC245036.3__chr19|AC245036.4__chr19|AC245036.5__chr19|AC245036.6__chr19|MIR8061__chr19
AC246787.3__chr14	AC246787.3__chr14|AC246787.5__chr14|MIR4539__chr14
ACOT1__chr14	ACOT1__chr14|ACOT2__chr14
ACSM2A__chr16	ACSM2A__chr16|ACSM2B__chr16
ADH1A__chr4	ADH1A__chr4|ADH1C__chr4
ADORA2A__chr22	ADORA2A__chr22|SPECC1L-ADORA2A__chr22
AF111168.1__chr14	AF111168.1__chr14|AL139021.1__chr14
AF111168.4__chr14	AF111168.4__chr14|AL139099.2__chr14|RN7SL2__chr14
