Re-sort ID	ERCC ID	subgroup	concentration in Mix 1 (attomoles/ul)	concentration in Mix 2 (attomoles/ul)	expected fold-change ratio	log2(Mix 1/Mix 2)	LENGTH	pg/ul mix 1	pg/ul mix 2	nb/ul mix 1	nb/ul mix 2	nb/cell mix 1 50000	nb/cell mix 2 50000	nb/cell mix 1 500000	nb/cell mix 2 500000
ERCC-00130	1	A	30000	7500	4	2	1059	10801.8	2700.45	18066425370	4516606343	72265.70148	18066.42537	7226.570148	1806.642537
ERCC-00002	70	D	15000	30000	0.5	-1	1061	5411.1	10822.2	9033212685	18066425370	36132.85074	72265.70148	3613.285074	7226.570148
ERCC-00074	47	C	15000	22500	0.67	-0.58	522	2662.2	3993.3	9033212685	13549819028	36132.85074	54199.27611	3613.285074	5419.927611
ERCC-00096	24	B	15000	15000	1	0	1107	5645.7	5645.7	9033212685	9033212685	36132.85074	36132.85074	3613.285074	3613.285074
ERCC-00004	2	A	7500	1875	4	2	523	1333.65	333.4125	4516606343	1129151586	18066.42537	4516.606343	1806.642537	451.6606343
ERCC-00046	71	D	3750	7500	0.5	-1	522	665.55	1331.1	2258303171	4516606343	9033.212685	18066.42537	903.3212685	1806.642537
ERCC-00113	48	C	3750	5625	0.67	-0.58	840	1071	1606.5	2258303171	3387454757	9033.212685	13549.81903	903.3212685	1354.981903
ERCC-00171	25	B	3750	3750	1	0	505	643.875	643.875	2258303171	2258303171	9033.212685	9033.212685	903.3212685	903.3212685
ERCC-00136	3	A	1875	468.75	4	2	1033	658.5375	164.634375	1129151586	282287896.4	4516.606343	1129.151586	451.6606343	112.9151586
ERCC-00003	72	D	937.5	1875	0.5	-1	1023	326.08125	652.1625	564575792.8	1129151586	2258.303171	4516.606343	225.8303171	451.6606343
ERCC-00009	26	B	937.5	937.5	1	0	984	313.65	313.65	564575792.8	564575792.8	2258.303171	2258.303171	225.8303171	225.8303171
ERCC-00108	4	A	937.5	234.375	4	2	1022	325.7625	81.440625	564575792.8	141143948.2	2258.303171	564.5757928	225.8303171	56.45757928
ERCC-00145	49	C	937.5	1406.25	0.67	-0.58	1042	332.1375	498.20625	564575792.8	846863689.2	2258.303171	3387.454757	225.8303171	338.7454757
ERCC-00042	27	B	468.75	468.75	1	0	1023	163.040625	163.040625	282287896.4	282287896.4	1129.151586	1129.151586	112.9151586	112.9151586
ERCC-00043	73	D	468.75	937.5	0.5	-1	1023	163.040625	326.08125	282287896.4	564575792.8	1129.151586	2258.303171	112.9151586	225.8303171
ERCC-00111	50	C	468.75	703.125	0.67	-0.58	994	158.41875	237.628125	282287896.4	423431844.6	1129.151586	1693.727378	112.9151586	169.3727378
ERCC-00116	5	A	468.75	117.1875	4	2	1991	317.315625	79.32890625	282287896.4	70571974.1	1129.151586	282.2878964	112.9151586	28.22878964
ERCC-00022	74	D	234.375	468.75	0.5	-1	751	59.8453125	119.690625	141143948.2	282287896.4	564.5757928	1129.151586	56.45757928	112.9151586
ERCC-00060	28	B	234.375	234.375	1	0	523	41.6765625	41.6765625	141143948.2	141143948.2	564.5757928	564.5757928	56.45757928	56.45757928
ERCC-00076	51	C	234.375	351.5625	0.67	-0.58	642	51.159375	76.7390625	141143948.2	211715922.3	564.5757928	846.8636892	56.45757928	84.68636892
ERCC-00092	6	A	234.375	58.59375	4	2	1124	89.56875	22.3921875	141143948.2	35285987.05	564.5757928	141.1439482	56.45757928	14.11439482
ERCC-00035	29	B	117.1875	117.1875	1	0	1130	45.0234375	45.0234375	70571974.1	70571974.1	282.2878964	282.2878964	28.22878964	28.22878964
ERCC-00044	52	C	117.1875	175.78125	0.67	-0.58	1156	46.059375	69.0890625	70571974.1	105857961.2	282.2878964	423.4318446	28.22878964	42.34318446
ERCC-00095	7	A	117.1875	29.296875	4	2	521	20.75859375	5.189648438	70571974.1	17642993.53	282.2878964	70.5719741	28.22878964	7.05719741
ERCC-00112	75	D	117.1875	234.375	0.5	-1	1136	45.2625	90.525	70571974.1	141143948.2	282.2878964	564.5757928	28.22878964	56.45757928
ERCC-00131	8	A	117.1875	29.296875	4	2	771	30.71953125	7.679882813	70571974.1	17642993.53	282.2878964	70.5719741	28.22878964	7.05719741
ERCC-00025	30	B	58.59375	58.59375	1	0	1994	39.72421875	39.72421875	35285987.05	35285987.05	141.1439482	141.1439482	14.11439482	14.11439482
ERCC-00051	31	B	58.59375	58.59375	1	0	274	5.45859375	5.45859375	35285987.05	35285987.05	141.1439482	141.1439482	14.11439482	14.11439482
ERCC-00062	9	A	58.59375	14.6484375	4	2	1023	20.38007813	5.095019531	35285987.05	8821496.763	141.1439482	35.28598705	14.11439482	3.528598705
ERCC-00071	54	C	58.59375	87.890625	0.67	-0.58	642	12.78984375	19.18476563	35285987.05	52928980.58	141.1439482	211.7159223	14.11439482	21.17159223
ERCC-00079	77	D	58.59375	117.1875	0.5	-1	644	12.8296875	25.659375	35285987.05	70571974.1	141.1439482	282.2878964	14.11439482	28.22878964
ERCC-00162	53	C	58.59375	87.890625	0.67	-0.58	523	10.41914063	15.62871094	35285987.05	52928980.58	141.1439482	211.7159223	14.11439482	21.17159223
ERCC-00165	76	D	58.59375	117.1875	0.5	-1	872	17.371875	34.74375	35285987.05	70571974.1	141.1439482	282.2878964	14.11439482	28.22878964
ERCC-00019	10	A	29.296875	7.32421875	4	2	644	6.41484375	1.603710938	17642993.53	4410748.381	70.5719741	17.64299353	7.05719741	1.764299353
ERCC-00053	32	B	29.296875	29.296875	1	0	1023	10.19003906	10.19003906	17642993.53	17642993.53	70.5719741	70.5719741	7.05719741	7.05719741
ERCC-00078	78	D	29.296875	58.59375	0.5	-1	993	9.891210938	19.78242188	17642993.53	35285987.05	70.5719741	141.1439482	7.05719741	14.11439482
ERCC-00084	55	C	29.296875	43.9453125	0.67	-0.58	994	9.901171875	14.85175781	17642993.53	26464490.29	70.5719741	105.8579612	7.05719741	10.58579612
ERCC-00144	11	A	29.296875	7.32421875	4	2	538	5.358984375	1.339746094	17642993.53	4410748.381	70.5719741	17.64299353	7.05719741	1.764299353
ERCC-00054	57	C	14.6484375	21.9726563	0.67	-0.58	274	1.364648438	2.046972661	8821496.763	13232245.17	35.28598705	52.9289807	3.528598705	5.29289807
ERCC-00059	80	D	14.6484375	29.296875	0.5	-1	525	2.614746094	5.229492188	8821496.763	17642993.53	35.28598705	70.5719741	3.528598705	7.05719741
ERCC-00099	56	C	14.6484375	21.9726563	0.67	-0.58	1350	6.723632813	10.08544924	8821496.763	13232245.17	35.28598705	52.9289807	3.528598705	5.29289807
ERCC-00126	34	B	14.6484375	14.6484375	1	0	1118	5.568164063	5.568164063	8821496.763	8821496.763	35.28598705	35.28598705	3.528598705	3.528598705
ERCC-00148	33	B	14.6484375	14.6484375	1	0	494	2.460351563	2.460351563	8821496.763	8821496.763	35.28598705	35.28598705	3.528598705	3.528598705
ERCC-00163	79	D	14.6484375	29.296875	0.5	-1	543	2.704394531	5.408789063	8821496.763	17642993.53	35.28598705	70.5719741	3.528598705	7.05719741
ERCC-00170	12	A	14.6484375	3.66210938	4	2	1023	5.095019531	1.273754885	8821496.763	2205374.194	35.28598705	8.821496775	3.528598705	0.882149677
ERCC-00034	35	B	7.32421875	7.32421875	1	0	1019	2.537548828	2.537548828	4410748.381	4410748.381	17.64299353	17.64299353	1.764299353	1.764299353
ERCC-00085	14	A	7.32421875	1.83105469	4	2	844	2.101757813	0.525439454	4410748.381	1102687.097	17.64299353	4.410748387	1.764299353	0.441074839
ERCC-00154	13	A	7.32421875	1.83105469	4	2	537	1.337255859	0.334313965	4410748.381	1102687.097	17.64299353	4.410748387	1.764299353	0.441074839
ERCC-00157	58	C	7.32421875	10.9863281	0.67	-0.58	1019	2.537548828	3.806323234	4410748.381	6616122.557	17.64299353	26.46449023	1.764299353	2.646449023
ERCC-00160	81	D	7.32421875	14.6484375	0.5	-1	743	1.850244141	3.700488281	4410748.381	8821496.763	17.64299353	35.28598705	1.764299353	3.528598705
ERCC-00014	82	D	3.66210938	7.32421875	0.5	-1	1957	2.436694339	4.873388672	2205374.194	4410748.381	8.821496775	17.64299353	0.882149677	1.764299353
ERCC-00028	15	A	3.66210938	0.91552734	4	2	1130	1.406982424	0.351745604	2205374.194	551343.5454	8.821496775	2.205374182	0.882149677	0.220537418
ERCC-00039	60	C	3.66210938	5.49316406	0.67	-0.58	740	0.92138672	1.382080077	2205374.194	3308061.285	8.821496775	13.23224514	0.882149677	1.323224514
ERCC-00067	37	B	3.66210938	3.66210938	1	0	644	0.80185547	0.80185547	2205374.194	2205374.194	8.821496775	8.821496775	0.882149677	0.882149677
ERCC-00077	83	D	3.66210938	7.32421875	0.5	-1	273	0.339916993	0.679833984	2205374.194	4410748.381	8.821496775	17.64299353	0.882149677	1.764299353
ERCC-00143	59	C	3.66210938	5.49316406	0.67	-0.58	784	0.976171876	1.464257812	2205374.194	3308061.285	8.821496775	13.23224514	0.882149677	1.323224514
ERCC-00150	36	B	3.66210938	3.66210938	1	0	743	0.925122072	0.925122072	2205374.194	2205374.194	8.821496775	8.821496775	0.882149677	0.882149677
ERCC-00031	38	B	1.83105469	1.83105469	1	0	1138	0.708471681	0.708471681	1102687.097	1102687.097	4.410748387	4.410748387	0.441074839	0.441074839
ERCC-00033	16	A	1.83105469	0.45776367	4	2	2022	1.258813478	0.314703368	1102687.097	275671.7727	4.410748387	1.102687091	0.441074839	0.110268709
ERCC-00058	61	C	1.83105469	2.74658203	0.67	-0.58	1136	0.707226563	1.060839843	1102687.097	1654030.642	4.410748387	6.616122569	0.441074839	0.661612257
ERCC-00069	84	D	1.83105469	3.66210938	0.5	-1	1137	0.707849122	1.415698244	1102687.097	2205374.194	4.410748387	8.821496775	0.441074839	0.882149677
ERCC-00134	17	A	1.83105469	0.45776367	4	2	274	0.170581055	0.042645263	1102687.097	275671.7727	4.410748387	1.102687091	0.441074839	0.110268709
ERCC-00013	86	D	0.91552734	1.83105469	0.5	-1	808	0.251513671	0.503027344	551343.5454	1102687.097	2.205374182	4.410748387	0.220537418	0.441074839
ERCC-00040	63	C	0.91552734	1.37329102	0.67	-0.58	744	0.231591796	0.347387696	551343.5454	827015.3241	2.205374182	3.308061297	0.220537418	0.33080613
ERCC-00073	40	B	0.91552734	0.91552734	1	0	603	0.187701415	0.187701415	551343.5454	551343.5454	2.205374182	2.205374182	0.220537418	0.220537418
ERCC-00109	39	B	0.91552734	0.91552734	1	0	536	0.166845702	0.166845702	551343.5454	551343.5454	2.205374182	2.205374182	0.220537418	0.220537418
ERCC-00120	62	C	0.91552734	1.37329102	0.67	-0.58	536	0.166845702	0.250268555	551343.5454	827015.3241	2.205374182	3.308061297	0.220537418	0.33080613
ERCC-00137	85	D	0.91552734	1.83105469	0.5	-1	537	0.167156982	0.334313965	551343.5454	1102687.097	2.205374182	4.410748387	0.220537418	0.441074839
ERCC-00147	18	A	0.91552734	0.22888184	4	2	1023	0.318438719	0.079609682	551343.5454	137835.8894	2.205374182	0.551343557	0.220537418	0.055134356
ERCC-00097	19	A	0.45776367	0.11444092	4	2	523	0.081399536	0.020349884	275671.7727	68917.94468	1.102687091	0.275671779	0.110268709	0.027567178
ERCC-00156	20	A	0.45776367	0.11444092	4	2	494	0.076885986	0.019221497	275671.7727	68917.94468	1.102687091	0.275671779	0.110268709	0.027567178
ERCC-00158	41	B	0.45776367	0.45776367	1	0	1027	0.159841918	0.159841918	275671.7727	275671.7727	1.102687091	1.102687091	0.110268709	0.110268709
ERCC-00164	64	C	0.45776367	0.68664551	0.67	-0.58	1022	0.15906372	0.238595582	275671.7727	413507.6621	1.102687091	1.654030648	0.110268709	0.165403065
ERCC-00168	87	D	0.45776367	0.91552734	0.5	-1	1024	0.159374999	0.318749999	275671.7727	551343.5454	1.102687091	2.205374182	0.110268709	0.220537418
ERCC-00016	66	C	0.22888184	0.34332275	0.67	-0.58	844	0.065679933	0.098519896	137835.8894	206753.828	0.551343557	0.827015312	0.055134356	0.082701531
ERCC-00024	65	C	0.22888184	0.34332275	0.67	-0.58	536	0.041711427	0.062567138	137835.8894	206753.828	0.551343557	0.827015312	0.055134356	0.082701531
ERCC-00041	88	D	0.22888184	0.45776367	0.5	-1	1122	0.087313844	0.174627685	137835.8894	275671.7727	0.551343557	1.102687091	0.055134356	0.110268709
ERCC-00081	89	D	0.22888184	0.45776367	0.5	-1	534	0.041555787	0.083111572	137835.8894	275671.7727	0.551343557	1.102687091	0.055134356	0.110268709
ERCC-00104	42	B	0.22888184	0.22888184	1	0	2022	0.157351687	0.157351687	137835.8894	137835.8894	0.551343557	0.551343557	0.055134356	0.055134356
ERCC-00123	21	A	0.22888184	0.05722046	4	2	1022	0.079531862	0.019882965	137835.8894	34458.97234	0.551343557	0.137835889	0.055134356	0.013783589
ERCC-00142	43	B	0.22888184	0.22888184	1	0	493	0.038365174	0.038365174	137835.8894	137835.8894	0.551343557	0.551343557	0.055134356	0.055134356
ERCC-00012	67	C	0.11444092	0.17166138	0.67	-0.58	994	0.038676453	0.05801468	68917.94468	103376.917	0.275671779	0.413507668	0.027567178	0.041350767
ERCC-00017	22	A	0.11444092	0.02861023	4	2	1136	0.044201661	0.011050415	68917.94468	17229.48617	0.275671779	0.068917945	0.027567178	0.006891794
ERCC-00086	90	D	0.11444092	0.22888184	0.5	-1	1020	0.039688111	0.079376222	68917.94468	137835.8894	0.275671779	0.551343557	0.027567178	0.055134356
