1010001B22Rik	1010001B22Rik|Gm26808
1700024B05Rik	1700024B05Rik|Gm5622|Gm8257
Cd209f	Cd209f|Cd209g
Ugt3a1	Ugt3a1|Ugt3a2
Usp17la	Usp17la|Usp17lc|Usp17ld
Usp17lb	Usp17lb|Usp17le
V1ra8	V1ra8|Vmn1r52
Vmn1r10	Vmn1r10|Vmn1r7|Vmn1r8|Vmn1r9
Vmn1r16	Vmn1r16|Vmn1r29
Vmn1r167	Vmn1r167|Vmn1r169|Vmn1r170|Vmn1r175|Vmn1r176
Vmn1r168	Vmn1r168|Vmn1r177
Vmn1r17	Vmn1r17|Vmn1r20|Vmn1r27|Vmn1r31
Vmn1r172	Vmn1r172|Vmn1r173|Vmn1r174
Cd300lh	Cd300lh|Gm11709|Gm11710|Gm11711
Vmn1r18	Vmn1r18|Vmn1r28
Vmn1r184	Vmn1r184|Vmn1r185
Vmn1r188	Vmn1r188|Vmn1r222
Vmn1r189	Vmn1r189|Vmn1r191|Vmn1r199|Vmn1r200|Vmn1r203|Vmn1r205|Vmn1r206|Vmn1r208|Vmn1r209|Vmn1r210|Vmn1r213|Vmn1r214|Vmn1r217|Vmn1r219|Vmn1r220
Vmn1r192	Vmn1r192|Vmn1r201|Vmn1r215|Vmn1r218
Vmn1r193	Vmn1r193|Vmn1r202|Vmn1r204|Vmn1r216|Vmn1r223
Vmn1r197	Vmn1r197|Vmn1r211
Vmn1r2	Vmn1r2|Vmn1r3
Vmn1r22	Vmn1r22|Vmn1r23
Vmn1r25	Vmn1r25|Vmn1r30
Ceacam1	Ceacam1|Ceacam2
Vmn1r33	Vmn1r33|Vmn1r34|Vmn1r35|Vmn1r36|Vmn1r37|Vmn1r38|Vmn1r39
Vmn1r40	Vmn1r40|Vmn1r41
Vmn1r42	Vmn1r42|Vmn1r43|Vmn1r47|Vmn1r48
Vmn1r44	Vmn1r44|Vmn1r46|Vmn1r53
Vmn1r5	Vmn1r5|Vmn1r6
Vmn1r55	Vmn1r55|Vmn1r56|Vmn1r57|Vmn1r59|Vmn1r60|Vmn1r64
Vmn1r61	Vmn1r61|Vmn1r62|Vmn1r63
Vmn1r86	Vmn1r86|Vmn1r88|Vmn1r89
Vmn2r-ps130	Vmn2r-ps130|Vmn2r113
Vmn2r10	Vmn2r10|Vmn2r11|Vmn2r12|Vmn2r13|Vmn2r14|Vmn2r15|Vmn2r17|Vmn2r8|Vmn2r9
Cela3a	Cela3a|Cela3b
Vmn2r100	Vmn2r100|Vmn2r107|Vmn2r124|Vmn2r91|Vmn2r92|Vmn2r93|Vmn2r94
Vmn2r101	Vmn2r101|Vmn2r102|Vmn2r103|Vmn2r104|Vmn2r95|Vmn2r96|Vmn2r97|Vmn2r98|Vmn2r99
Vmn2r108	Vmn2r108|Vmn2r109|Vmn2r110
Vmn2r111	Vmn2r111|Vmn2r112|Vmn2r114|Vmn2r115|Vmn2r116|Vmn2r117
Vmn2r20	Vmn2r20|Vmn2r21|Vmn2r22
Vmn2r23	Vmn2r23|Vmn2r24
Vmn2r25	Vmn2r25|Vmn2r26
Vmn2r28	Vmn2r28|Vmn2r52
Vmn2r53	Vmn2r53|Vmn2r54|Vmn2r55|Vmn2r56
Vmn2r58	Vmn2r58|Vmn2r59|Vmn2r60|Vmn2r61
Ces1b	Ces1b|Ces1c
Vmn2r66	Vmn2r66|Vmn2r69|Vmn2r70|Vmn2r74|Vmn2r75
Vmn2r67	Vmn2r67|Vmn2r68|Vmn2r71|Vmn2r72|Vmn2r73
Vmn2r77	Vmn2r77|Vmn2r78|Vmn2r79
Vmn2r80	Vmn2r80|Vmn2r81|Vmn2r82
Vmn2r84	Vmn2r84|Vmn2r85|Vmn2r86|Vmn2r87
Vmn2r88	Vmn2r88|Vmn2r89
Wfdc6a	Wfdc6a|Wfdc6b
Xlr3a	Xlr3a|Xlr3b|Xlr3c
Xlr4a	Xlr4a|Xlr4b|Xlr4c
Xlr5a	Xlr5a|Xlr5b|Xlr5c
Ces2c	Ces2c|Ces2d-ps
Zfp273	Zfp273|Zfp85
Zfp442	Zfp442|Zfp937
Zfp729a	Zfp729a|Zfp738
9130019O22Rik	9130019O22Rik|Zfp747|Zfp764
Zfp942	Zfp942|Zfp944
Zfp955a	Zfp955a|Zfp955b
Zfp960	Zfp960|Zfp97
Zfy1	Zfy1|Zfy2
Zscan4b	Zscan4b|Zscan4c|Zscan4d|Zscan4f
n-R5s166	n-R5s166|n-R5s167
Ces3a	Ces3a|Ces3b
n-R5s176	n-R5s176|n-R5s180
n-R5s194	n-R5s194|n-R5s195
n-R5s10	n-R5s10|n-R5s2|n-R5s5
Chil3	Chil3|Chil4
Clca3a1	Clca3a1|Clca3a2
Clca4a	Clca4a|Clca4b
1700040F15Rik	1700040F15Rik|Gm20736|Gm20792|Gm20814|Gm20817|Gm20820|Gm20824|Gm20835|Gm20837|Gm20838|Gm20843|Gm20850|Gm20855|Gm20869|Gm20870|Gm20883|Gm20888|Gm20890|Gm20894|Gm20896|Gm20897|Gm20903|Gm20905|Gm20906|Gm20908|Gm20911|Gm20916|Gm20920|Gm20929|Gm20931|Gm20937|Gm21094|Gm21095|Gm21117|Gm21173|Gm21209|Gm21256|Gm21258|Gm21294|Gm21317|Gm21366|Gm21409|Gm21477|Gm21488|Gm21497|Gm21518|Gm21627|Gm21650|Gm21739|Gm21760|Gm21858|Gm21861|Gm21865|Gm21996|Gm28102|Gm28490|Gm28510|Gm28553|Gm28576|Gm28827|Gm28870|Gm28891|Gm28897|Gm28919|Gm28961|Gm28998|Gm29110|Gm29276|Gm29554|Gm29564|Gm29582|Gm29866|Gm30737|Gm31571|Gm35134|Sly
Cldn34b1	Cldn34b1|Cldn34b2|Cldn34b3
Cldn34c2	Cldn34c2|Cldn34c3
Clec2g	Clec2g|Clec2i
Cml3	Cml3|Gm11128|Gm4477
Cox16	Cox16|Gm20498
Cphx1	Cphx1|Cphx2|Cphx3
Cpne1	Cpne1|Gm28036
Crisp1	Crisp1|Crisp3
Crygd	Crygd|Cryge|Crygf
Csf2rb	Csf2rb|Csf2rb2
